ACC,AUC-ROC,Metal,Dataset,Task
0.59,0.86,Co,Dataset 2,Classification
0.612,0.81,Co,Dataset 2,Classification
0.615,0.84,Co,Dataset 2,Classification
0.588,0.84,Co,Dataset 2,Classification
0.564,0.79,Co,Dataset 2,Classification
0.567,0.83,Ni,Dataset 2,Classification
0.532,0.78,Ni,Dataset 2,Classification
0.559,0.74,Ni,Dataset 2,Classification
0.547,0.79,Ni,Dataset 2,Classification
0.544,0.8,Ni,Dataset 2,Classification
0.814,0.91,Co,Dataset 3,Classification
0.806,0.88,Co,Dataset 3,Classification
0.836,0.91,Co,Dataset 3,Classification
0.805,0.91,Co,Dataset 3,Classification
0.781,0.87,Co,Dataset 3,Classification
0.805,0.89,Ni,Dataset 3,Classification
0.757,0.83,Ni,Dataset 3,Classification
0.736,0.8,Ni,Dataset 3,Classification
0.753,0.85,Ni,Dataset 3,Classification
0.769,0.86,Ni,Dataset 3,Classification
0.837,0.91,Co,Dataset 4,Classification
0.872,0.97,Co,Dataset 4,Classification
0.86,0.94,Co,Dataset 4,Classification
0.87,0.94,Co,Dataset 4,Classification
0.839,0.89,Co,Dataset 4,Classification
0.736,0.82,Ni,Dataset 4,Classification
0.826,0.87,Ni,Dataset 4,Classification
0.761,0.85,Ni,Dataset 4,Classification
0.766,0.86,Ni,Dataset 4,Classification
0.776,0.86,Ni,Dataset 4,Classification
