id,smilesRXN,c1,c2,c3,c4,r1,r2,r3,r4,s1,s2,s3,s4,y1
1,CC1(C)OBOC1(C)C.CCCCC1=CC2=CC=CC=C2C1>>[H][C@@]1(B2OC(C)(C)C(C)(C)O2)[C@@H](CCCC)CC2=CC=CC=C12,1641581-58-9,,,,7782-44-7,,,,108-88-3,,,,100
2,COC(=O)C1=CC=CO1.CC1(C)OBOC1(C)C>>COC(=O)C1=CC=C(O1)B1OC(C)(C)C(C)(C)O1,1578190-27-8,,,,,,,,,,,,100
3,COC(=O)C1=CC=CO1.CC1(C)OBOC1(C)C>>COC(=O)C1=CC=C(O1)B1OC(C)(C)C(C)(C)O1,1578190-27-8,,,,,,,,,,,,99
4,COC(=O)C1=CC=CO1.CC1(C)OBOC1(C)C>>COC(=O)C1=CC=C(O1)B1OC(C)(C)C(C)(C)O1,1578190-27-8,,,,,,,,,,,,99
5,C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=CC=C1,1578190-27-8,,,,,,,,,,,,100
6,C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=CC=C1,1578190-27-8,,,,,,,,,,,,87
8,BrC1CCCCC1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1CCCCC1,26305-75-9,181422-81-1,,,141-52-6,7782-44-7,,,1634-04-4,,,,99
9,BrC12CC3CC(CC(C3)C1)C2.O1B(OC2=CC=CC=C12)B1OC2=CC=CC=C2O1>>C1C2CC3CC1CC(C2)(C3)B1OC2=CC=CC=C2O1,26305-75-9,181422-81-1,,,141-52-6,7782-44-7,,,1634-04-4,,,,99
10,COC(=O)CCBr.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>COC(=O)CCB1OC(C)(C)C(C)(C)O1,26305-75-9,181422-81-1,,,141-52-6,7782-44-7,,,1634-04-4,,,,99
11,BrCCCC1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCCC2=CC=CC=C2)OC1(C)C,26305-75-9,181422-81-1,,,141-52-6,7782-44-7,,,1634-04-4,,,,99
12,C#CC1CC1.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)\C=C\C1CC1,865-47-4,736928-75-9,,,75-09-2,,,,109-99-9,,,,99
13,CC(C)(C)C#C.CC1(C)OBOC1(C)C>>CC(C)(C)\C=C\B1OC(C)(C)C(C)(C)O1,865-47-4,736928-75-9,,,75-09-2,,,,109-99-9,,,,99
14,C#CC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)\C=C\C1CCCCC1,865-47-4,736928-75-9,,,75-09-2,,,,109-99-9,,,,99
15,C#CC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)\C=C\C1CCCCC1,2097731-28-5,,,,,,,,1076-43-3,,,,89
16,C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,,,,,99
17,C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,,,,,99
18,C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C,1863906-70-0,,,,,,,,1076-43-3,,,,99
19,C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,98
20,C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,91
