"id","smilesRXN","c1","c2","c3","c4","r1","r2","r3","r4","s1","s2","s3","s4","y1"
1,"CC1(C)OBOC1(C)C.CCCCC1=CC2=CC=CC=C2C1>>[H][C@@]1(B2OC(C)(C)C(C)(C)O2)[C@@H](CCCC)CC2=CC=CC=C12","C=1C=C[N]2=C(C1)C3=CC=CC=4C=5C=CC=C[N]5[Co+]2([N]34)[CH2-][Si](C)(C)C",NA,NA,"","O=O",NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,100
2,"COC(=O)C1=CC=CO1.CC1(C)OBOC1(C)C>>COC(=O)C1=CC=C(O1)B1OC(C)(C)C(C)(C)O1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,100
3,"COC(=O)C1=CC=CO1.CC1(C)OBOC1(C)C>>COC(=O)C1=CC=C(O1)B1OC(C)(C)C(C)(C)O1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,99
4,"COC(=O)C1=CC=CO1.CC1(C)OBOC1(C)C>>COC(=O)C1=CC=C(O1)B1OC(C)(C)C(C)(C)O1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,99
5,"C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=CC=C1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,100
6,"C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=CC=C1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,87
8,"BrC1CCCCC1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1CCCCC1","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Co]","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3",NA,"","CC[O-]","O=O",NA,NA,"CC(C)(C)OC",NA,NA,NA,99
9,"BrC12CC3CC(CC(C3)C1)C2.O1B(OC2=CC=CC=C12)B1OC2=CC=CC=C2O1>>C1C2CC3CC1CC(C2)(C3)B1OC2=CC=CC=C2O1","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Co]","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3",NA,"","CC[O-]","O=O",NA,NA,"CC(C)(C)OC",NA,NA,NA,99
10,"COC(=O)CCBr.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>COC(=O)CCB1OC(C)(C)C(C)(C)O1","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Co]","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3",NA,"","CC[O-]","O=O",NA,NA,"CC(C)(C)OC",NA,NA,NA,99
11,"BrCCCC1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCCC2=CC=CC=C2)OC1(C)C","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Co]","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3",NA,"","CC[O-]","O=O",NA,NA,"CC(C)(C)OC",NA,NA,NA,99
