id,smilesRXN,c1,c2,c3,c4,c5,r1,r2,r3,r4,r5,r6,r7,s1,s2,s3,s4,s5,y1
1,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CC(Cl)=C(C=C2)C(F)(F)F)C=C1>>COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CC(B3OC(C)(C)C(C)(C)O3)=C(C=C2)C(F)(F)F)C=C1,19232-05-4,,,,,13400-13-0,56859-55-3,,,,,,109-99-9,,,,,100
2,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CN=C(C(Cl)=C2)C(F)(F)F)C=C1>>COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CC(B3OC(C)(C)C(C)(C)O3)=C(N=C2)C(F)(F)F)C=C1,19232-05-4,,,,,13400-13-0,56859-55-3,,,,,,109-99-9,,,,,100
3,C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=CC=C1,865-48-5,1295-35-8,181422-72-0,,,,,,,,,,71-43-2,,,,,100
4,C=C.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCB2OC(C)(C)C(C)(C)O2)OC1(C)C,1295-35-8,940934-47-4,,,,121-44-8,865-34-9,,,,,,108-88-3,109-99-9,,,,100
5,BrC1=CC=CS1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=CS1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
6,BrC1=CC=CS1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=CS1,12150-46-8,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,95
7,BrC1=CC=C(Br)S1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=C(S1)B1OCC(C)(C)CO1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
8,FC1=C(I)C=CC=C1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=C(F)C=CC=C1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
9,FC1=C(I)C=CC=C1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=C(F)C=CC=C1,12150-46-8,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,91
10,COC1=C(I)C=CC=C1.CC1(C)COBOC1>>COC1=C(C=CC=C1)B1OCC(C)(C)CO1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
11,COC1=C(I)C=CC=C1.CC1(C)COBOC1>>COC1=C(C=CC=C1)B1OCC(C)(C)CO1,12150-46-8,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,96
12,COC(=O)C1=C(I)C=CC=C1.CC1(C)COBOC1>>COC(=O)C1=C(C=CC=C1)B1OCC(C)(C)CO1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
13,COC(=O)C1=C(I)C=CC=C1.CC1(C)COBOC1>>COC(=O)C1=C(C=CC=C1)B1OCC(C)(C)CO1,603-35-0,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,90
14,COC1=CC=C(I)C=C1.CC1(C)COBOC1>>COC1=CC=C(C=C1)B1OCC(C)(C)CO1,12150-46-8,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,100
15,COC1=CC=C(I)C=C1.CC1(C)COBOC1>>COC1=CC=C(C=C1)B1OCC(C)(C)CO1,1663-45-2,14647-23-5,,,,121-44-8,12125-02-9,,,,,,108-88-3,7732-18-5,,,,98
16,CC1=C(Cl)C=CC=C1.CC1(C)COBOC1>>CC1=C(C=CC=C1)B1OCC(C)(C)CO1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
17,ClC1=CC=CS1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=CS1,12150-46-8,14647-23-5,,,,121-44-8,,,,,,,108-88-3,,,,,100
18,ClC1=CC=CS1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=CS1,12150-46-8,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,92
20,COC(=O)C1=CC=C(Cl)C=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>COC(=O)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,19232-05-4,,,,,13400-13-0,,,,,,,108-88-3,,,,,99
21,COC(=O)C1=CC=C(Cl)C=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>COC(=O)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,19232-05-4,,,,,13400-13-0,56859-55-3,,,,,,109-99-9,,,,,99
26,CC1(C)OB(OC1(C)C)C1=CC=C(Br)C=C1.[H+].CC(C)NC(C)C.C1CC[CH-](CC1)[Si+4]123[O-]C4=CC=CC=C4[O-]1.[O-]2C1=CC=CC=C1[O-]3>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C1CCCCC1,29046-78-4,72914-19-3,60804-74-2,,,,,,,,,,109-99-9,68-12-2,,,,99
28,CC(=C)C(C)=C.CC1(C)OB(OC1(C)C)C1=CC=C(C=C(Cl)Cl)C=C1>>CC1=C(C)CC(C1)=CC1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,28923-39-9,2365168-22-3,,,,7440-66-6,,,,,,,872-50-4,,,,,99
