"id","smilesRXN","c1","c2","c3","c4","c5","r1","r2","r3","r4","r5","r6","r7","s1","s2","s3","s4","s5","y1"
1,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CC(Cl)=C(C=C2)C(F)(F)F)C=C1>>COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CC(B3OC(C)(C)C(C)(C)O3)=C(C=C2)C(F)(F)F)C=C1","CP(C)C.CP(C)C.Cl[Ni]Cl",NA,NA,NA,NA,"[F-].[Cs+]","C[Si](C)(C)OCC(F)(F)F",NA,NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,NA,100
2,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CN=C(C(Cl)=C2)C(F)(F)F)C=C1>>COC1=CC(OC)=C(CNC2=NN=C(C)C3=C2C=CC(=C3)C2=CC(B3OC(C)(C)C(C)(C)O3)=C(N=C2)C(F)(F)F)C=C1","CP(C)C.CP(C)C.Cl[Ni]Cl",NA,NA,NA,NA,"[F-].[Cs+]","C[Si](C)(C)OCC(F)(F)F",NA,NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,NA,100
3,"C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=CC=C1","CC(C)(C)[O-].[Na+]","C1CC=CCCC=C1.C1CC=CCCC=C1.[Ni]","C1CCC(CC1)N2C=C[N+](=C2)C3CCCCC3.[Cl-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,NA,100
4,"C=C.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCB2OC(C)(C)C(C)(C)O2)OC1(C)C","C1CC=CCCC=C1.C1CC=CCCC=C1.[Ni]","CC1(C2C=CC=C(C2OC3=C1C=CC=C3P(C4CCCCC4)C5CCCCC5)P(C6CCCCC6)C7CCCCC7)C",NA,NA,NA,"CCN(CC)CC","C1C(C(OC1N2C=NC3=C2N=C(N=C3SCC4=CC=CC=C4)N)CO)O",NA,NA,NA,NA,NA,"CC1=CC=CC=C1","C1CCOC1",NA,NA,NA,100
5,"BrC1=CC=CS1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=CS1","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",NA,NA,NA,"CCN(CC)CC",NA,NA,NA,NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,NA,100
6,"BrC1=CC=CS1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=CS1","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",NA,NA,NA,"CCN(CC)CC","[Zn]","[NH4+].[Cl-]",NA,NA,NA,NA,"CC1=CC=CC=C1","O",NA,NA,NA,95
7,"BrC1=CC=C(Br)S1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=CC=C(S1)B1OCC(C)(C)CO1","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",NA,NA,NA,"CCN(CC)CC",NA,NA,NA,NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,NA,100
8,"FC1=C(I)C=CC=C1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=C(F)C=CC=C1","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",NA,NA,NA,"CCN(CC)CC",NA,NA,NA,NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,NA,100
9,"FC1=C(I)C=CC=C1.CC1(C)COBOC1>>CC1(C)COB(OC1)C1=C(F)C=CC=C1","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",NA,NA,NA,"CCN(CC)CC","[Zn]","[NH4+].[Cl-]",NA,NA,NA,NA,"CC1=CC=CC=C1","O",NA,NA,NA,91
10,"COC1=C(I)C=CC=C1.CC1(C)COBOC1>>COC1=C(C=CC=C1)B1OCC(C)(C)CO1","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",NA,NA,NA,"CCN(CC)CC",NA,NA,NA,NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,NA,100
