"CAS_n","Check?","ChemNames","SMILES"
"1641581-58-9","YES",NA,NA
"1578190-27-8","YES",NA,NA
"26305-75-9","YES","CoCl(Ph3P)3","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Co+]"
"865-47-4","NO","Potassium tert-butoxide","CC(C)(C)[O-].[K+]"
"2097731-28-5","YES",NA,NA
"1600527-17-0","YES",NA,NA
"17979-81-6","NO","Sodium triethylborohydride","[B-](CC)(CC)CC.[Na+]"
"1863906-70-0","YES",NA,NA
"2173036-40-1","YES",NA,NA
"865-48-5","NO","Sodium tert-butoxide","CC(C)(C)[O-].[Na+]"
"2222868-47-3","YES",NA,NA
"1641581-60-3","YES",NA,NA
"2374233-34-6","YES",NA,NA
"14024-48-7","YES","Cobalt acetylacetonate","CC(=CC(=O)C)[O-].CC(=CC(=O)C)[O-].[Co+2]"
"10139-47-6","NO","Zinc iodide","[Zn](I)I"
"2026610-73-9","YES",NA,NA
"1234351-63-3","YES",NA,NA
"25015-63-8","NO","4,4,5,5-Tetramethyl-1,3,2-dioxaborolane","[B]1OC(C(O1)(C)C)(C)C"
"1459797-98-8","YES",NA,NA
"79060-88-1","NO","Sodium tetrakis[3,5-bis(trifluoromethyl)phenyl]borate","[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]"
"1877348-67-8","YES",NA,NA
"1632280-07-9","YES",NA,NA
"2071741-36-9","YES",NA,NA
"1978314-72-5","YES",NA,NA
"1632299-28-5","YES",NA,NA
"21373-88-6","YES",NA,NA
"1847470-86-3","YES",NA,NA
"2180965-73-3","YES",NA,NA
"2247831-11-2","YES",NA,NA
"1632280-01-3","YES",NA,NA
"1632280-08-0","YES",NA,NA
"7440-66-6","NO","Zinc","[Zn]"
"917-54-4","NO","Methyllithium","[Li+].[CH3-]"
"207129-97-3","YES",NA,NA
"2140175-28-4","YES",NA,NA
"6737-42-4","NO","1,3-Bis(diphenylphosphino)propane","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4"
"18078-25-6","YES",NA,NA
"2095304-37-1","YES",NA,NA
"2142641-66-3","YES",NA,NA
"68-19-9","NO","cobalt(3+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl phosphate;cyanide","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]"
