,IncNodePurity,Features
PRO_MaxPartialCharge,2607.89679963992,PRO_MaxPartialCharge
PRO_VSA_EState8,2462.50692379475,PRO_VSA_EState8
PRO_EState_VSA9,2389.16815317664,PRO_EState_VSA9
PRO_VSA_EState4,2269.45625663239,PRO_VSA_EState4
PRO_VSA_EState1,2099.6448602447,PRO_VSA_EState1
PRO_PEOE_VSA7,2029.1071946318,PRO_PEOE_VSA7
PRO_MaxAbsPartialCharge,1711.70639592119,PRO_MaxAbsPartialCharge
PRO_SMR_VSA1,1576.37173059266,PRO_SMR_VSA1
PRO_BCUT2D_CHGLO,1575.4988357835,PRO_BCUT2D_CHGLO
PRO_Chi0n,1514.53189525804,PRO_Chi0n
PRO_SMR_VSA5,1501.23895117686,PRO_SMR_VSA5
PRO_Chi0,1489.75380846602,PRO_Chi0
PRO_Chi1n,1438.70785775677,PRO_Chi1n
PRO_LabuteASA,1416.58420750433,PRO_LabuteASA
PRO_Chi1,1413.91398756611,PRO_Chi1
PRO_PEOE_VSA8,1411.99889462664,PRO_PEOE_VSA8
PRO_VSA_EState9,1374.11908830541,PRO_VSA_EState9
PRO_MaxEStateIndex,1356.58751212658,PRO_MaxEStateIndex
PRO_MinPartialCharge,1316.16436472709,PRO_MinPartialCharge
PRO_SlogP_VSA5,1305.33487265241,PRO_SlogP_VSA5
PRO_MinAbsPartialCharge,1305.05560159138,PRO_MinAbsPartialCharge
PRO_MinEStateIndex,1291.17146038704,PRO_MinEStateIndex
PRO_Kappa3,1290.80054823149,PRO_Kappa3
PRO_FpDensityMorgan3,1285.99477822024,PRO_FpDensityMorgan3
PRO_MolLogP,1283.64364222378,PRO_MolLogP
RCTB_MaxPartialCharge,1272.02108313752,RCTB_MaxPartialCharge
PRO_SlogP_VSA2,1253.40227493594,PRO_SlogP_VSA2
RCTB_MinPartialCharge,1220.02393455153,RCTB_MinPartialCharge
PRO_SlogP_VSA3,1196.64704674813,PRO_SlogP_VSA3
PRO_MolMR,1178.5203019447,PRO_MolMR
PRO_MaxAbsEStateIndex,1177.33661262882,PRO_MaxAbsEStateIndex
PRO_FpDensityMorgan1,1146.59002368251,PRO_FpDensityMorgan1
CAT_MinEStateIndex,1137.56632168881,CAT_MinEStateIndex
PRO_Chi3v,1134.19439836929,PRO_Chi3v
CAT_Chi4v,1129.0447433235,CAT_Chi4v
RCTB_MaxAbsPartialCharge,1117.53215059502,RCTB_MaxAbsPartialCharge
PRO_BCUT2D_CHGHI,1116.57691427235,PRO_BCUT2D_CHGHI
RCTB_BCUT2D_CHGHI,1095.48371871156,RCTB_BCUT2D_CHGHI
RCTB_MinAbsPartialCharge,1081.80126163898,RCTB_MinAbsPartialCharge
PRO_Kappa1,1078.6945088821,PRO_Kappa1
PRO_Chi4v,1067.67695124708,PRO_Chi4v
RCTB_HallKierAlpha,1063.85095472997,RCTB_HallKierAlpha
RCTB_Kappa3,1058.87440526741,RCTB_Kappa3
PRO_ExactMolWt,1041.64578019059,PRO_ExactMolWt
CAT_138,1037.30670661088,CAT_138
PRO_Chi0v,1031.94824191626,PRO_Chi0v
CAT_MaxEStateIndex,1030.76632312254,CAT_MaxEStateIndex
CAT_qed,1029.3037537814,CAT_qed
PRO_Kappa2,1016.15512452957,PRO_Kappa2
CAT_SMR_VSA7,1008.16882068107,CAT_SMR_VSA7
