,IncNodePurity,Features
RCTB_VSA_EState5,4600.6218969159,RCTB_VSA_EState5
PRO_VSA_EState8,4254.24011427951,PRO_VSA_EState8
PRO_BCUT2D_CHGLO,4132.55174987089,PRO_BCUT2D_CHGLO
RCTB_MinAbsEStateIndex,3700.99239330299,RCTB_MinAbsEStateIndex
RCTB_Kappa3,3327.12089877156,RCTB_Kappa3
RCTB_BCUT2D_LOGPLOW,3293.57694917776,RCTB_BCUT2D_LOGPLOW
RCTB_BCUT2D_CHGLO,3192.29650875483,RCTB_BCUT2D_CHGLO
CAT_MinEStateIndex,3189.79441990042,CAT_MinEStateIndex
PRO_FpDensityMorgan1,3145.85442762919,PRO_FpDensityMorgan1
PRO_VSA_EState4,3095.7286858283,PRO_VSA_EState4
RCTB_MinPartialCharge,3092.54111729833,RCTB_MinPartialCharge
PRO_VSA_EState6,3078.42756404297,PRO_VSA_EState6
PRO_FpDensityMorgan2,3055.37385515458,PRO_FpDensityMorgan2
RCTB_MaxEStateIndex,3039.60388350084,RCTB_MaxEStateIndex
RCTB_MaxAbsEStateIndex,3021.0290029002,RCTB_MaxAbsEStateIndex
RCTA_SlogP_VSA5,3017.48969597264,RCTA_SlogP_VSA5
PRO_FpDensityMorgan3,2954.74386448941,PRO_FpDensityMorgan3
PRO_MaxPartialCharge,2912.96202232573,PRO_MaxPartialCharge
RCTB_MinEStateIndex,2895.66162947542,RCTB_MinEStateIndex
RCTB_BalabanJ,2882.774824535,RCTB_BalabanJ
PRO_MaxAbsPartialCharge,2828.65851200549,PRO_MaxAbsPartialCharge
RCTA_MolLogP,2765.93269353034,RCTA_MolLogP
RCTB_qed,2682.07060258546,RCTB_qed
PRO_MinPartialCharge,2669.61594219818,PRO_MinPartialCharge
PRO_BCUT2D_CHGHI,2658.84437549166,PRO_BCUT2D_CHGHI
PRO_MinEStateIndex,2656.81976356428,PRO_MinEStateIndex
PRO_PEOE_VSA7,2556.96590983584,PRO_PEOE_VSA7
RCTB_BCUT2D_MWLOW,2526.95912691557,RCTB_BCUT2D_MWLOW
PRO_MinAbsPartialCharge,2515.81667411544,PRO_MinAbsPartialCharge
RCTB_Kappa2,2497.2124538629,RCTB_Kappa2
PRO_VSA_EState9,2491.69929580386,PRO_VSA_EState9
RCTB_MaxAbsPartialCharge,2422.49541748624,RCTB_MaxAbsPartialCharge
RCTB_FpDensityMorgan2,2421.25390117477,RCTB_FpDensityMorgan2
PRO_BalabanJ,2413.65614597861,PRO_BalabanJ
RCTB_BCUT2D_LOGPHI,2357.29015639225,RCTB_BCUT2D_LOGPHI
PRO_BCUT2D_LOGPHI,2302.14309230759,PRO_BCUT2D_LOGPHI
RCTB_MaxPartialCharge,2301.46024416727,RCTB_MaxPartialCharge
