,MeanDecreaseGini,Features
CAT_FractionCSP3,2.51241277734138,CAT_FractionCSP3
CAT_SMR_VSA5,2.31660927369526,CAT_SMR_VSA5
PRO_SlogP_VSA2,1.94871624430029,PRO_SlogP_VSA2
PRO_MaxPartialCharge,1.89312993071107,PRO_MaxPartialCharge
CAT_Chi3v,1.89135169506648,CAT_Chi3v
CAT_MinEStateIndex,1.85626446088628,CAT_MinEStateIndex
PRO_VSA_EState8,1.80318001777342,PRO_VSA_EState8
CAT_Chi4v,1.7929083247378,CAT_Chi4v
CAT_Chi2v,1.63872951719972,CAT_Chi2v
CAT_HallKierAlpha,1.60176283822628,CAT_HallKierAlpha
CAT_EState_VSA9,1.49046357887942,CAT_EState_VSA9
CAT_Chi1v,1.49001672754572,CAT_Chi1v
CAT_SMR_VSA1,1.4826357059279,CAT_SMR_VSA1
CAT_SMR_VSA10,1.47448919130447,CAT_SMR_VSA10
CAT_VSA_EState8,1.36595130313177,CAT_VSA_EState8
PRO_MaxAbsPartialCharge,1.3473553320851,PRO_MaxAbsPartialCharge
CAT_MaxAbsEStateIndex,1.33700537568629,CAT_MaxAbsEStateIndex
RCTB_MinPartialCharge,1.26096161004414,RCTB_MinPartialCharge
CAT_Chi0v,1.22736512229543,CAT_Chi0v
CAT_VSA_EState9,1.2271663236462,CAT_VSA_EState9
PRO_BCUT2D_CHGLO,1.18478979260579,PRO_BCUT2D_CHGLO
CAT_ExactMolWt,1.17587116232326,CAT_ExactMolWt
CAT_SlogP_VSA6,1.17178265464985,CAT_SlogP_VSA6
CAT_MaxEStateIndex,1.16688513560766,CAT_MaxEStateIndex
CAT_NumHeteroatoms,1.14096005201316,CAT_NumHeteroatoms
CAT_233,1.13257046792245,CAT_233
CAT_PEOE_VSA9,1.13170990996833,CAT_PEOE_VSA9
PRO_TPSA,1.1062033959063,PRO_TPSA
CAT_SlogP_VSA2,1.06361000920013,CAT_SlogP_VSA2
CAT_qed,1.05453185270767,CAT_qed
PRO_Kappa3,1.0476089683047,PRO_Kappa3
RCTB_Kappa1,1.02611190738378,RCTB_Kappa1
RCTB_MaxAbsPartialCharge,1.02254497528189,RCTB_MaxAbsPartialCharge
PRO_NumHAcceptors,1.01695860505139,PRO_NumHAcceptors
PRO_VSA_EState4,0.988594021483269,PRO_VSA_EState4
PRO_PEOE_VSA9,0.963982716243618,PRO_PEOE_VSA9
CAT_193,0.957062749548775,CAT_193
PRO_HeavyAtomMolWt,0.956065103716136,PRO_HeavyAtomMolWt
RCTB_HallKierAlpha,0.931108081092673,RCTB_HallKierAlpha
PRO_MinPartialCharge,0.916355678670811,PRO_MinPartialCharge
CAT_15,0.914029911306858,CAT_15
CAT_VSA_EState4,0.890459496032963,CAT_VSA_EState4
CAT_PEOE_VSA8,0.879660608851884,CAT_PEOE_VSA8
CAT_FpDensityMorgan3,0.876298208051007,CAT_FpDensityMorgan3
CAT_96,0.876260405827411,CAT_96
CAT_VSA_EState1,0.873938501014257,CAT_VSA_EState1
CAT_MolMR,0.850786523716373,CAT_MolMR
PRO_Chi1v,0.847699695464153,PRO_Chi1v
CAT_MolWt,0.842441205765509,CAT_MolWt
RCTB_MolWt,0.841982439733429,RCTB_MolWt
CAT_VSA_EState3,0.812745064111504,CAT_VSA_EState3
PRO_PEOE_VSA7,0.798907859915063,PRO_PEOE_VSA7
PRO_MaxEStateIndex,0.791522118788699,PRO_MaxEStateIndex
CAT_EState_VSA1,0.789162931965072,CAT_EState_VSA1
PRO_MinEStateIndex,0.787555443170513,PRO_MinEStateIndex
CAT_VSA_EState6,0.783885008245848,CAT_VSA_EState6
PRO_Kappa1,0.778691348914671,PRO_Kappa1
RCTB_SlogP_VSA3,0.77422225226507,RCTB_SlogP_VSA3
PRO_VSA_EState9,0.771233279647035,PRO_VSA_EState9
PRO_MolWt,0.769648706889536,PRO_MolWt
PRO_HallKierAlpha,0.769162205515012,PRO_HallKierAlpha
CAT_131,0.766816884300134,CAT_131
CAT_114,0.747144902786842,CAT_114
CAT_HeavyAtomMolWt,0.740819256254678,CAT_HeavyAtomMolWt
RCTB_MinAbsEStateIndex,0.737833278374488,RCTB_MinAbsEStateIndex
CAT_VSA_EState2,0.722638698088175,CAT_VSA_EState2
CAT_NumValenceElectrons,0.719909096826002,CAT_NumValenceElectrons
PRO_FractionCSP3,0.712829359148499,PRO_FractionCSP3
RCTB_VSA_EState4,0.710873127429004,RCTB_VSA_EState4
PRO_MaxAbsEStateIndex,0.710423172353014,PRO_MaxAbsEStateIndex
PRO_172,0.709297270828192,PRO_172
PRO_EState_VSA9,0.695253436224377,PRO_EState_VSA9
RCTB_SlogP_VSA5,0.681287877261725,RCTB_SlogP_VSA5
RCTB_Chi3n,0.680134017913098,RCTB_Chi3n
PRO_LabuteASA,0.673052597343555,PRO_LabuteASA
CAT_NumAromaticRings,0.666905987825758,CAT_NumAromaticRings
PRO_NOCount,0.661402995367895,PRO_NOCount
RCTB_MolMR,0.659433882589396,RCTB_MolMR
CAT_Chi0,0.658619696867489,CAT_Chi0
PRO_NumHeteroatoms,0.654417707736691,PRO_NumHeteroatoms
CAT_TPSA,0.648082446404669,CAT_TPSA
CAT_LabuteASA,0.646986095180616,CAT_LabuteASA
CAT_SlogP_VSA5,0.641282516726381,CAT_SlogP_VSA5
PRO_SMR_VSA10,0.639793336711133,PRO_SMR_VSA10
PRO_VSA_EState6,0.638853513152591,PRO_VSA_EState6
PRO_qed,0.632424897070882,PRO_qed
CAT_203,0.631043702677,CAT_203
RCTB_BertzCT,0.627308491001901,RCTB_BertzCT
CAT_Kappa3,0.625840444434751,CAT_Kappa3
PRO_PEOE_VSA8,0.611386286842487,PRO_PEOE_VSA8
PRO_VSA_EState1,0.603537254623776,PRO_VSA_EState1
RCTB_Chi0v,0.599896725239237,RCTB_Chi0v
RCTB_EState_VSA1,0.59922416613239,RCTB_EState_VSA1
PRO_Chi3v,0.592771045284932,PRO_Chi3v
PRO_NumRotatableBonds,0.589490795182088,PRO_NumRotatableBonds
CAT_Kappa1,0.584597679368693,CAT_Kappa1
PRO_MolLogP,0.582827067019542,PRO_MolLogP
CAT_BertzCT,0.581470115254493,CAT_BertzCT
RCTB_ExactMolWt,0.57442058641159,RCTB_ExactMolWt
CAT_PEOE_VSA7,0.573232473226366,CAT_PEOE_VSA7
PRO_MinAbsPartialCharge,0.571697123061608,PRO_MinAbsPartialCharge
RCTB_MaxPartialCharge,0.571519619532975,RCTB_MaxPartialCharge
CAT_SMR_VSA7,0.570803690238127,CAT_SMR_VSA7
PRO_157,0.569061291469704,PRO_157
RCTB_MinAbsPartialCharge,0.560476535368222,RCTB_MinAbsPartialCharge
PRO_PEOE_VSA1,0.552828619390866,PRO_PEOE_VSA1
RCTB_MolLogP,0.552104322841239,RCTB_MolLogP
RCTB_Chi2n,0.551021806907419,RCTB_Chi2n
PRO_237,0.550407530836627,PRO_237
RCTB_LabuteASA,0.544987482378133,RCTB_LabuteASA
PRO_MolMR,0.544386044845476,PRO_MolMR
CAT_138,0.54202624377578,CAT_138
RCTB_Ipc,0.541858628100085,RCTB_Ipc
PRO_BertzCT,0.539990628901353,PRO_BertzCT
RCTB_HeavyAtomMolWt,0.533939196730275,RCTB_HeavyAtomMolWt
RCTB_SMR_VSA7,0.532068985600924,RCTB_SMR_VSA7
RCTB_NOCount,0.520601334720448,RCTB_NOCount
RCTB_PEOE_VSA7,0.517004850518778,RCTB_PEOE_VSA7
CAT_SlogP_VSA4,0.512346520638486,CAT_SlogP_VSA4
PRO_PEOE_VSA6,0.511979712004846,PRO_PEOE_VSA6
PRO_BCUT2D_CHGHI,0.5114533981444,PRO_BCUT2D_CHGHI
CAT_Chi1n,0.508358689398815,CAT_Chi1n
RCTB_PEOE_VSA9,0.505752784141249,RCTB_PEOE_VSA9
PRO_Kappa2,0.50342521575672,PRO_Kappa2
RCTB_BalabanJ,0.50083879597346,RCTB_BalabanJ
PRO_NumValenceElectrons,0.500453635156181,PRO_NumValenceElectrons
PRO_12,0.496173906909812,PRO_12
RCTB_PEOE_VSA8,0.489813510621274,RCTB_PEOE_VSA8
PRO_MinAbsEStateIndex,0.4846741934445,PRO_MinAbsEStateIndex
RCTB_NumValenceElectrons,0.484559516002015,RCTB_NumValenceElectrons
RCTB_EState_VSA8,0.483497114557619,RCTB_EState_VSA8
PRO_VSA_EState7,0.481270260934753,PRO_VSA_EState7
PRO_SlogP_VSA8,0.480187600302495,PRO_SlogP_VSA8
PRO_BCUT2D_MWHI,0.476918698072676,PRO_BCUT2D_MWHI
PRO_Chi4v,0.475247756970613,PRO_Chi4v
PRO_SMR_VSA7,0.463394048361455,PRO_SMR_VSA7
PRO_Chi0v,0.46273044808337,PRO_Chi0v
RCTB_Chi4n,0.462500955823682,RCTB_Chi4n
PRO_Chi2n,0.462396495497491,PRO_Chi2n
RCTB_SlogP_VSA6,0.460017668627726,RCTB_SlogP_VSA6
PRO_Chi1n,0.45927859512049,PRO_Chi1n
PRO_SMR_VSA5,0.45829552659783,PRO_SMR_VSA5
PRO_Chi3n,0.457369687086688,PRO_Chi3n
PRO_ExactMolWt,0.453887754278911,PRO_ExactMolWt
PRO_BalabanJ,0.453063662552743,PRO_BalabanJ
PRO_FpDensityMorgan3,0.449779627542974,PRO_FpDensityMorgan3
RCTB_200,0.440239140394238,RCTB_200
RCTB_VSA_EState6,0.436851604669215,RCTB_VSA_EState6
CAT_Chi0n,0.435685197954118,CAT_Chi0n
PRO_VSA_EState5,0.434294461657394,PRO_VSA_EState5
RCTB_FpDensityMorgan3,0.432311586659717,RCTB_FpDensityMorgan3
RCTB_BCUT2D_MRLOW,0.430493414316111,RCTB_BCUT2D_MRLOW
RCTB_116,0.425182732868952,RCTB_116
RCTB_SMR_VSA10,0.425034138224561,RCTB_SMR_VSA10
RCTB_MinEStateIndex,0.421839240854792,RCTB_MinEStateIndex
RCTB_Chi1,0.418884962242217,RCTB_Chi1
RCTB_BCUT2D_MWLOW,0.417583614552825,RCTB_BCUT2D_MWLOW
RCTB_NumHAcceptors,0.417067875748132,RCTB_NumHAcceptors
RCTB_FpDensityMorgan2,0.415787529308872,RCTB_FpDensityMorgan2
RCTB_VSA_EState8,0.414363377883443,RCTB_VSA_EState8
RCTB_HeavyAtomCount,0.411742492117936,RCTB_HeavyAtomCount
CAT_Chi1,0.409057145491935,CAT_Chi1
PRO_Chi0,0.408984833573991,PRO_Chi0
RCTB_FpDensityMorgan1,0.403348806125092,RCTB_FpDensityMorgan1
RCTB_226,0.4029185808196,RCTB_226
CAT_Chi3n,0.400740940892085,CAT_Chi3n
RCTB_Chi4v,0.3981110546006,RCTB_Chi4v
RCTB_BCUT2D_LOGPLOW,0.392120009966938,RCTB_BCUT2D_LOGPLOW
RCTB_MaxEStateIndex,0.391923603963865,RCTB_MaxEStateIndex
PRO_200,0.391775477384259,PRO_200
RCTB_Chi1v,0.391687957317505,RCTB_Chi1v
CAT_201,0.391542443597912,CAT_201
PRO_SMR_VSA6,0.391107513394144,PRO_SMR_VSA6
PRO_BCUT2D_LOGPHI,0.384008084604062,PRO_BCUT2D_LOGPHI
PRO_SlogP_VSA5,0.383748965156505,PRO_SlogP_VSA5
CAT_EState_VSA10,0.383465969603808,CAT_EState_VSA10
RCTB_qed,0.382251150561415,RCTB_qed
PRO_Chi4n,0.377982266134954,PRO_Chi4n
RCTB_BCUT2D_CHGHI,0.37756415940044,RCTB_BCUT2D_CHGHI
RCTB_Kappa2,0.377416523258754,RCTB_Kappa2
PRO_244,0.37082542315974,PRO_244
RCTB_FractionCSP3,0.370504174142509,RCTB_FractionCSP3
CAT_FpDensityMorgan2,0.364415210389448,CAT_FpDensityMorgan2
RCTB_Kappa3,0.363163440562104,RCTB_Kappa3
RCTB_Chi0,0.361882269948292,RCTB_Chi0
