,MeanDecreaseGini,Features
CAT_MinEStateIndex,4.86792308022029,CAT_MinEStateIndex
PRO_VSA_EState8,4.57878496055885,PRO_VSA_EState8
RCTA_Chi0n,4.56553464103744,RCTA_Chi0n
RCTA_MolLogP,3.85976679322293,RCTA_MolLogP
RCTA_MinAbsPartialCharge,3.51699726353593,RCTA_MinAbsPartialCharge
PRO_VSA_EState1,3.51274528518031,PRO_VSA_EState1
RCTB_BCUT2D_LOGPLOW,3.45965031875651,RCTB_BCUT2D_LOGPLOW
RCTB_PEOE_VSA8,3.30437165906701,RCTB_PEOE_VSA8
RCTA_Chi1n,3.28393619125122,RCTA_Chi1n
RCTB_qed,3.23725801795846,RCTB_qed
PRO_BCUT2D_CHGLO,3.2028340422621,PRO_BCUT2D_CHGLO
RCTB_BCUT2D_CHGLO,3.19383912588044,RCTB_BCUT2D_CHGLO
PRO_MinEStateIndex,3.14497854272703,PRO_MinEStateIndex
PRO_Chi1n,3.13747189481338,PRO_Chi1n
RCTA_SlogP_VSA5,3.13681300690375,RCTA_SlogP_VSA5
RCTB_MaxAbsPartialCharge,3.13034537519359,RCTB_MaxAbsPartialCharge
PRO_VSA_EState9,3.1296238540578,PRO_VSA_EState9
RCTA_SMR_VSA5,2.91325223180852,RCTA_SMR_VSA5
PRO_Chi0n,2.8788653689702,PRO_Chi0n
PRO_MaxAbsPartialCharge,2.82379818525562,PRO_MaxAbsPartialCharge
PRO_SlogP_VSA2,2.80299016995239,PRO_SlogP_VSA2
PRO_MinAbsPartialCharge,2.79332133483914,PRO_MinAbsPartialCharge
PRO_BCUT2D_LOGPHI,2.72218259962518,PRO_BCUT2D_LOGPHI
RCTB_MaxAbsEStateIndex,2.71105751455338,RCTB_MaxAbsEStateIndex
PRO_MinAbsEStateIndex,2.701017757562,PRO_MinAbsEStateIndex
RCTA_MinPartialCharge,2.69348293086188,RCTA_MinPartialCharge
RCTB_MinAbsEStateIndex,2.67037454698962,RCTB_MinAbsEStateIndex
RCTB_BCUT2D_CHGHI,2.64869562772149,RCTB_BCUT2D_CHGHI
RCTB_MolLogP,2.61511494835851,RCTB_MolLogP
RCTB_BalabanJ,2.61203961806666,RCTB_BalabanJ
RCTB_PEOE_VSA6,2.60676630082043,RCTB_PEOE_VSA6
PRO_MaxPartialCharge,2.58790796036108,PRO_MaxPartialCharge
PRO_Chi0,2.57349618109196,PRO_Chi0
RCTB_MinEStateIndex,2.55255339791961,RCTB_MinEStateIndex
PRO_FpDensityMorgan3,2.54925095903907,PRO_FpDensityMorgan3
RCTB_PEOE_VSA7,2.53770994699332,RCTB_PEOE_VSA7
PRO_FpDensityMorgan2,2.53359150529414,PRO_FpDensityMorgan2
PRO_MinPartialCharge,2.5268714496199,PRO_MinPartialCharge
PRO_SMR_VSA1,2.5091743729402,PRO_SMR_VSA1
PRO_qed,2.49369802126855,PRO_qed
PRO_FpDensityMorgan1,2.48660173917077,PRO_FpDensityMorgan1
RCTB_MinPartialCharge,2.48272901633249,RCTB_MinPartialCharge
RCTB_MaxEStateIndex,2.4397841103468,RCTB_MaxEStateIndex
PRO_PEOE_VSA8,2.41250198921776,PRO_PEOE_VSA8
PRO_VSA_EState4,2.40099793602032,PRO_VSA_EState4
RCTA_Chi0,2.3618946771989,RCTA_Chi0
PRO_EState_VSA9,2.36078086307353,PRO_EState_VSA9
PRO_MaxEStateIndex,2.32472100116519,PRO_MaxEStateIndex
PRO_BCUT2D_CHGHI,2.32150969699276,PRO_BCUT2D_CHGHI
PRO_MaxAbsEStateIndex,2.31598736729808,PRO_MaxAbsEStateIndex
RCTB_BCUT2D_MWLOW,2.27524060410223,RCTB_BCUT2D_MWLOW
PRO_BalabanJ,2.26763501699902,PRO_BalabanJ
PRO_PEOE_VSA7,2.26273486987864,PRO_PEOE_VSA7
RCTB_FpDensityMorgan3,2.23586318285926,RCTB_FpDensityMorgan3
PRO_SlogP_VSA5,2.18664601328438,PRO_SlogP_VSA5
RCTA_VSA_EState1,2.18144136221219,RCTA_VSA_EState1
RCTB_BCUT2D_MRLOW,2.17620280407995,RCTB_BCUT2D_MRLOW
RCTB_FpDensityMorgan2,2.16652559981805,RCTB_FpDensityMorgan2
RCTB_MinAbsPartialCharge,2.12251152476649,RCTB_MinAbsPartialCharge
RCTB_VSA_EState6,2.10429520659608,RCTB_VSA_EState6
RCTB_MaxPartialCharge,2.08566344070423,RCTB_MaxPartialCharge
PRO_Chi4n,2.06278322100727,PRO_Chi4n
RCTA_VSA_EState4,2.05670254623138,RCTA_VSA_EState4
RCTB_Chi4v,2.02721059942828,RCTB_Chi4v
RCTB_BCUT2D_LOGPHI,2.01053777951678,RCTB_BCUT2D_LOGPHI
PRO_VSA_EState6,2.00581722084337,PRO_VSA_EState6
PRO_PEOE_VSA6,1.99999440054004,PRO_PEOE_VSA6
RCTB_Chi4n,1.99294120947056,RCTB_Chi4n
RCTB_Chi3v,1.98977027789066,RCTB_Chi3v
RCTB_Chi2v,1.97824529112814,RCTB_Chi2v
RCTA_Chi2n,1.93912656350439,RCTA_Chi2n
RCTB_BCUT2D_MWHI,1.93312223879702,RCTB_BCUT2D_MWHI
RCTB_SlogP_VSA5,1.93262868487655,RCTB_SlogP_VSA5
RCTA_BCUT2D_MWLOW,1.91877661070601,RCTA_BCUT2D_MWLOW
RCTB_Kappa3,1.90768143093937,RCTB_Kappa3
CAT_Kappa3,1.8920529863831,CAT_Kappa3
RCTB_ExactMolWt,1.88313976552687,RCTB_ExactMolWt
PRO_MolLogP,1.86379042216895,PRO_MolLogP
RCTB_Kappa2,1.86016791442919,RCTB_Kappa2
RCTB_FpDensityMorgan1,1.84746532446494,RCTB_FpDensityMorgan1
PRO_BCUT2D_MWLOW,1.84367389640313,PRO_BCUT2D_MWLOW
RCTB_EState_VSA9,1.82931994049928,RCTB_EState_VSA9
PRO_Kappa3,1.81803419757291,PRO_Kappa3
RCTB_SlogP_VSA2,1.81423406293121,RCTB_SlogP_VSA2
RCTB_VSA_EState1,1.79225014733751,RCTB_VSA_EState1
PRO_Chi4v,1.78310399315993,PRO_Chi4v
RCTB_VSA_EState3,1.78130911158202,RCTB_VSA_EState3
RCTB_SMR_VSA1,1.74625237616618,RCTB_SMR_VSA1
RCTB_Chi3n,1.74096353542688,RCTB_Chi3n
PRO_Kappa1,1.73107041320409,PRO_Kappa1
RCTB_Chi2n,1.72201465958203,RCTB_Chi2n
RCTB_MolWt,1.71176684035936,RCTB_MolWt
PRO_PEOE_VSA9,1.70257871550239,PRO_PEOE_VSA9
RCTB_PEOE_VSA9,1.69980418999302,RCTB_PEOE_VSA9
RCTB_VSA_EState2,1.69918296329105,RCTB_VSA_EState2
RCTB_EState_VSA1,1.69899571669168,RCTB_EState_VSA1
RCTB_BertzCT,1.69727566841313,RCTB_BertzCT
RCTB_Kappa1,1.65715241469415,RCTB_Kappa1
RCTB_VSA_EState4,1.65520671534484,RCTB_VSA_EState4
PRO_BCUT2D_MRHI,1.64776365484462,PRO_BCUT2D_MRHI
RCTB_VSA_EState10,1.6421821097395,RCTB_VSA_EState10
PRO_Chi3v,1.62305410233056,PRO_Chi3v
PRO_Chi3n,1.57287863085205,PRO_Chi3n
CAT_MaxAbsEStateIndex,1.55502531258073,CAT_MaxAbsEStateIndex
RCTB_HallKierAlpha,1.54693191881146,RCTB_HallKierAlpha
PRO_VSA_EState5,1.54338342447816,PRO_VSA_EState5
CAT_MaxEStateIndex,1.53984686329171,CAT_MaxEStateIndex
RCTB_HeavyAtomMolWt,1.53015095937469,RCTB_HeavyAtomMolWt
PRO_Kappa2,1.52857323512088,PRO_Kappa2
RCTB_BCUT2D_MRHI,1.52494915906471,RCTB_BCUT2D_MRHI
PRO_Chi2v,1.52306471978611,PRO_Chi2v
CAT_Chi3n,1.52200834912374,CAT_Chi3n
RCTB_Chi1n,1.51262344403632,RCTB_Chi1n
PRO_Chi1,1.5028447125327,PRO_Chi1
RCTB_Chi1v,1.49849411246259,RCTB_Chi1v
RCTB_Chi0v,1.49213838918373,RCTB_Chi0v
RCTB_Chi0n,1.48042896521313,RCTB_Chi0n
RCTB_VSA_EState5,1.47840628839486,RCTB_VSA_EState5
CAT_Chi4v,1.47539645425553,CAT_Chi4v
PRO_FractionCSP3,1.47498277261753,PRO_FractionCSP3
RCTB_SMR_VSA7,1.47040620324301,RCTB_SMR_VSA7
PRO_Chi0v,1.46787717015582,PRO_Chi0v
PRO_MolWt,1.4476279447975,PRO_MolWt
PRO_ExactMolWt,1.43919823141232,PRO_ExactMolWt
RCTB_VSA_EState7,1.4365096623606,RCTB_VSA_EState7
PRO_MolMR,1.42925299618572,PRO_MolMR
PRO_HeavyAtomMolWt,1.42661414659014,PRO_HeavyAtomMolWt
PRO_SlogP_VSA3,1.42452795093108,PRO_SlogP_VSA3
RCTB_SMR_VSA6,1.40867975649898,RCTB_SMR_VSA6
PRO_SlogP_VSA1,1.40444305488022,PRO_SlogP_VSA1
PRO_VSA_EState7,1.4039660914259,PRO_VSA_EState7
RCTB_FractionCSP3,1.39341737231261,RCTB_FractionCSP3
RCTB_MolMR,1.37575551253852,RCTB_MolMR
PRO_LabuteASA,1.36572840349742,PRO_LabuteASA
PRO_SMR_VSA5,1.35061677980292,PRO_SMR_VSA5
RCTB_SMR_VSA10,1.34233163069857,RCTB_SMR_VSA10
PRO_Chi1v,1.33754467866277,PRO_Chi1v
RCTA_PEOE_VSA9,1.3289825804164,RCTA_PEOE_VSA9
RCTA_Chi3n,1.32385058288066,RCTA_Chi3n
PRO_BCUT2D_MRLOW,1.30876353093534,PRO_BCUT2D_MRLOW
RCTB_PEOE_VSA10,1.30317221435709,RCTB_PEOE_VSA10
RCTB_Chi1,1.29229903089537,RCTB_Chi1
RCTB_Chi0,1.28696641826647,RCTB_Chi0
PRO_HallKierAlpha,1.2690596656642,PRO_HallKierAlpha
PRO_Chi2n,1.26083683753631,PRO_Chi2n
PRO_BCUT2D_MWHI,1.25719514618331,PRO_BCUT2D_MWHI
RCTB_NumValenceElectrons,1.25352956767017,RCTB_NumValenceElectrons
RCTB_LabuteASA,1.25034304679049,RCTB_LabuteASA
PRO_NumValenceElectrons,1.2473068051778,PRO_NumValenceElectrons
RCTB_SlogP_VSA4,1.24472640182067,RCTB_SlogP_VSA4
PRO_PEOE_VSA14,1.24220049716555,PRO_PEOE_VSA14
PRO_EState_VSA1,1.23695825972907,PRO_EState_VSA1
RCTA_EState_VSA1,1.22751190783099,RCTA_EState_VSA1
RCTA_VSA_EState8,1.22710624714603,RCTA_VSA_EState8
PRO_SlogP_VSA7,1.22422833713774,PRO_SlogP_VSA7
RCTA_MinEStateIndex,1.21800271282572,RCTA_MinEStateIndex
CAT_SMR_VSA10,1.20781209327263,CAT_SMR_VSA10
RCTB_VSA_EState8,1.20626719888503,RCTB_VSA_EState8
RCTB_SlogP_VSA3,1.18100017210413,RCTB_SlogP_VSA3
RCTB_SlogP_VSA6,1.13262318931463,RCTB_SlogP_VSA6
RCTA_Chi4n,1.12835261381584,RCTA_Chi4n
PRO_PEOE_VSA1,1.12281926415249,PRO_PEOE_VSA1
RCTA_HallKierAlpha,1.12178288728376,RCTA_HallKierAlpha
RCTB_247,1.11406244776586,RCTB_247
PRO_SMR_VSA7,1.09819307463727,PRO_SMR_VSA7
RCTA_EState_VSA9,1.09435909490538,RCTA_EState_VSA9
RCTB_SlogP_VSA1,1.09242343003895,RCTB_SlogP_VSA1
RCTB_SMR_VSA5,1.09067975371516,RCTB_SMR_VSA5
RCTA_qed,1.08300363942924,RCTA_qed
PRO_BCUT2D_LOGPLOW,1.08164538579476,PRO_BCUT2D_LOGPLOW
PRO_SMR_VSA10,1.07256267328833,PRO_SMR_VSA10
CAT_Chi3v,1.06047618635232,CAT_Chi3v
CAT_Chi4n,1.05923288859088,CAT_Chi4n
PRO_PEOE_VSA10,1.05129342020946,PRO_PEOE_VSA10
PRO_BertzCT,1.04682202476986,PRO_BertzCT
RCTB_VSA_EState9,1.03815777080648,RCTB_VSA_EState9
RCTA_MaxPartialCharge,1.02627186138026,RCTA_MaxPartialCharge
PRO_SMR_VSA6,1.01683560092793,PRO_SMR_VSA6
RCTB_TPSA,1.01344284449167,RCTB_TPSA
RCTA_MaxAbsPartialCharge,1.00999053621153,RCTA_MaxAbsPartialCharge
PRO_NumHAcceptors,0.999125046499301,PRO_NumHAcceptors
RCTB_PEOE_VSA1,0.992364286209853,RCTB_PEOE_VSA1
RCTA_VSA_EState9,0.978052270684431,RCTA_VSA_EState9
PRO_NumRotatableBonds,0.977956604629629,PRO_NumRotatableBonds
PRO_TPSA,0.970723892773489,PRO_TPSA
PRO_SlogP_VSA6,0.968258971295518,PRO_SlogP_VSA6
RCTA_PEOE_VSA6,0.937718487362291,RCTA_PEOE_VSA6
RCTA_Kappa2,0.919235588945088,RCTA_Kappa2
RCTA_SMR_VSA1,0.900877204312903,RCTA_SMR_VSA1
RCTA_Chi4v,0.898220580600312,RCTA_Chi4v
RCTA_BCUT2D_CHGHI,0.892244190351281,RCTA_BCUT2D_CHGHI
RCTB_EState_VSA8,0.891085471516752,RCTB_EState_VSA8
RCTA_VSA_EState6,0.870203912934745,RCTA_VSA_EState6
RCTA_Chi3v,0.853983545940112,RCTA_Chi3v
PRO_VSA_EState3,0.850062242987779,PRO_VSA_EState3
RCTA_BCUT2D_LOGPHI,0.844391733336284,RCTA_BCUT2D_LOGPHI
RCTA_Chi2v,0.838977282678783,RCTA_Chi2v
RCTB_EState_VSA10,0.832512168742518,RCTB_EState_VSA10
CAT_Chi2v,0.82245896772835,CAT_Chi2v
RCTA_FpDensityMorgan1,0.819195603386157,RCTA_FpDensityMorgan1
RCTB_HeavyAtomCount,0.795320288243201,RCTB_HeavyAtomCount
CAT_Kappa2,0.786451830137798,CAT_Kappa2
RCTB_NumHeteroatoms,0.77333295566056,RCTB_NumHeteroatoms
RCTA_Chi1,0.768369676804747,RCTA_Chi1
RCTB_PEOE_VSA14,0.761646474680779,RCTB_PEOE_VSA14
RCTA_BalabanJ,0.753172940607134,RCTA_BalabanJ
RCTA_SlogP_VSA6,0.750363207927335,RCTA_SlogP_VSA6
RCTB_SlogP_VSA10,0.73544008412507,RCTB_SlogP_VSA10
SOL.C1CCOC1,0.732254865322885,SOL.C1CCOC1
RCTB_NumRotatableBonds,0.72356964174516,RCTB_NumRotatableBonds
CAT_qed,0.719168831285616,CAT_qed
RCTA_FpDensityMorgan3,0.705020378058222,RCTA_FpDensityMorgan3
PRO_NumHeteroatoms,0.700786671126016,PRO_NumHeteroatoms
RCTA_MaxEStateIndex,0.69146676314018,RCTA_MaxEStateIndex
CAT_Kappa1,0.686499067374329,CAT_Kappa1
RCTB_EState_VSA6,0.680556544572661,RCTB_EState_VSA6
RCTA_Kappa3,0.660932740032224,RCTA_Kappa3
RCTB_PEOE_VSA5,0.642626765243059,RCTB_PEOE_VSA5
PRO_VSA_EState2,0.633933826106577,PRO_VSA_EState2
RCTB_SlogP_VSA8,0.631329529350457,RCTB_SlogP_VSA8
RCTA_MaxAbsEStateIndex,0.617108697737168,RCTA_MaxAbsEStateIndex
PRO_HeavyAtomCount,0.609841930450659,PRO_HeavyAtomCount
RCTB_fr_NH0,0.604130350330745,RCTB_fr_NH0
RCTA_MolWt,0.59040895943618,RCTA_MolWt
PRO_EState_VSA10,0.581298365349853,PRO_EState_VSA10
RCTA_NumRotatableBonds,0.571791946106083,RCTA_NumRotatableBonds
PRO_EState_VSA8,0.569084397878235,PRO_EState_VSA8
RCTB_PEOE_VSA3,0.564002311150975,RCTB_PEOE_VSA3
PRO_NOCount,0.555892708247955,PRO_NOCount
RCTA_BCUT2D_CHGLO,0.553336687614498,RCTA_BCUT2D_CHGLO
CAT_HallKierAlpha,0.5526682295539,CAT_HallKierAlpha
CAT_FractionCSP3,0.548383634850615,CAT_FractionCSP3
PRO_SlogP_VSA8,0.547838603057054,PRO_SlogP_VSA8
RCTA_MolMR,0.543184540534431,RCTA_MolMR
CAT_PEOE_VSA8,0.54245805650348,CAT_PEOE_VSA8
CAT_HeavyAtomMolWt,0.541552852412202,CAT_HeavyAtomMolWt
RCTA_SMR_VSA10,0.540473263220165,RCTA_SMR_VSA10
RCTA_Chi0v,0.538740223727427,RCTA_Chi0v
RCTB_RingCount,0.537853266258046,RCTB_RingCount
RCTB_27,0.535107131224597,RCTB_27
RCTA_MinAbsEStateIndex,0.527663762543017,RCTA_MinAbsEStateIndex
RCTA_FpDensityMorgan2,0.521458386389277,RCTA_FpDensityMorgan2
PRO_89,0.520058296449035,PRO_89
RCTA_LabuteASA,0.518405693634062,RCTA_LabuteASA
CAT_SMR_VSA1,0.514581943120713,CAT_SMR_VSA1
CAT_FpDensityMorgan2,0.514390868223738,CAT_FpDensityMorgan2
RCTB_PEOE_VSA4,0.505528180764245,RCTB_PEOE_VSA4
RCTB_fr_allylic_oxid,0.505190292153221,RCTB_fr_allylic_oxid
RCTB_SMR_VSA9,0.499425589697183,RCTB_SMR_VSA9
